record_id,protein_name,protein_source,protein_category,pH,temperature_c,protein_concentration_pct,processing_method,extraction_method,measurement_method,solubility_pct,emulsification_index,foaming_capacity_pct,gel_strength_g
1,Hemp Protein,Hemp,Plant,7.79,61.9,3.25,High Pressure,Alkaline Extraction,Foam Test,61.38,57.7,47.1,59.32
2,Chickpea Protein,Chickpea,Plant,4.53,21.6,6.2,Untreated,Salt Extraction,Emulsion Test,42.36,51.37,42.51,37.79
3,Rice Protein,Rice,Plant,8.37,67.6,5.6,pH Shift,Alkaline Extraction,Foam Test,49.45,57.23,44.6,55.29
4,Rice Protein,Rice,Plant,8.59,38.1,7.3,Untreated,Aqueous Extraction,Foam Test,44.0,44.37,34.06,46.71
5,Hemp Protein,Hemp,Plant,8.73,82.6,6.78,Heat,Salt Extraction,Texture Analysis,43.54,44.79,43.87,58.42
6,Soy Protein,Soy,Plant,5.83,31.6,2.13,Untreated,Alkaline Extraction,Spectrophotometric,52.37,52.65,48.08,44.46
7,Mung Bean Protein,Mung Bean,Plant,8.67,65.6,9.32,Untreated,Aqueous Extraction,Spectrophotometric,43.32,58.3,40.87,49.78
8,Potato Protein,Potato,Plant,7.16,39.2,6.49,High Pressure,Alkaline Extraction,Foam Test,66.78,58.61,55.84,66.22
9,Hemp Protein,Hemp,Plant,4.68,69.7,2.89,pH Shift,Salt Extraction,Foam Test,46.31,49.22,39.7,67.19
10,Chickpea Protein,Chickpea,Plant,5.62,48.7,8.04,High Pressure,Salt Extraction,Spectrophotometric,53.15,51.52,55.98,63.15
11,Rice Protein,Rice,Plant,,76.5,9.17,High Pressure,Salt Extraction,Emulsion Test,54.17,54.48,48.74,58.34
12,Rice Protein,Rice,Plant,4.53,55.8,5.34,Untreated,Alkaline Extraction,Foam Test,47.01,49.88,42.96,48.95
13,Potato Protein,Potato,Plant,6.14,88.0,9.7,High Pressure,Alkaline Extraction,Texture Analysis,59.89,50.76,48.14,68.04
14,Pea Protein,Pea,Plant,6.76,23.6,4.23,pH Shift,Alkaline Extraction,Emulsion Test,62.0,59.26,42.63,46.89
15,Spirulina Protein,Spirulina,Algae,4.86,45.9,3.94,Heat,Aqueous Extraction,Texture Analysis,53.0,60.91,43.97,59.78
16,Hemp Protein,Hemp,Plant,5.94,33.1,2.33,High Pressure,Alkaline Extraction,Spectrophotometric,64.59,56.35,50.05,53.08
17,Mung Bean Protein,Mung Bean,Plant,8.73,47.8,6.14,High Pressure,Aqueous Extraction,Texture Analysis,55.77,57.23,47.91,66.01
18,Hemp Protein,Hemp,Plant,5.53,32.2,9.86,Heat,Salt Extraction,Foam Test,41.89,52.17,45.0,49.96
19,Hemp Protein,Hemp,Plant,7.65,79.3,8.85,Untreated,Alkaline Extraction,Foam Test,51.66,53.14,43.27,61.44
20,Potato Protein,Potato,Plant,7.49,20.4,3.29,pH Shift,Salt Extraction,Spectrophotometric,65.79,60.33,37.54,58.04
21,Pea Protein,Pea,Plant,5.96,72.3,7.2,High Pressure,Alkaline Extraction,Emulsion Test,61.97,59.87,48.46,69.95
22,Mung Bean Protein,Mung Bean,Plant,5.6,88.1,5.14,Heat,Aqueous Extraction,Emulsion Test,49.84,57.59,42.17,74.75
23,Rice Protein,Rice,Plant,5.54,54.9,6.58,pH Shift,Alkaline Extraction,Spectrophotometric,55.69,53.28,43.73,56.63
24,Rice Protein,Rice,Plant,5.99,58.7,6.58,Untreated,Alkaline Extraction,Texture Analysis,48.37,51.41,40.14,40.18
25,Soy Protein,Soy,Plant,8.3,85.1,2.56,Untreated,Salt Extraction,Foam Test,54.82,53.43,38.37,58.77
26,Soy Protein,Soy,Plant,8.32,,7.67,Heat,Salt Extraction,Spectrophotometric,50.06,59.56,37.14,52.34
27,Spirulina Protein,Spirulina,Algae,6.76,75.9,7.2,Untreated,Salt Extraction,Foam Test,56.99,62.26,42.62,64.53
28,Rice Protein,Rice,Plant,7.1,22.5,5.72,Heat,Salt Extraction,Texture Analysis,48.54,57.2,38.63,48.11
29,Rice Protein,Rice,Plant,6.12,28.9,6.18,Heat,Salt Extraction,Foam Test,49.83,56.91,37.05,50.52
30,Chickpea Protein,Chickpea,Plant,7.65,29.7,3.06,High Pressure,Salt Extraction,Foam Test,59.19,53.7,59.36,53.82
31,Soy Protein,Soy,Plant,4.86,50.0,7.51,Untreated,Salt Extraction,Spectrophotometric,46.31,54.73,45.82,57.97
32,Chickpea Protein,Chickpea,Plant,7.25,49.4,3.98,pH Shift,Aqueous Extraction,Spectrophotometric,61.55,53.62,43.62,63.0
33,Rice Protein,Rice,Plant,6.71,53.1,3.39,High Pressure,Salt Extraction,Emulsion Test,54.78,50.39,58.42,69.21
34,Soy Protein,Soy,Plant,7.32,55.2,8.85,High Pressure,Aqueous Extraction,Emulsion Test,58.87,62.2,55.9,64.2
35,Pea Protein,Pea,Plant,7.09,47.2,7.15,High Pressure,Aqueous Extraction,Texture Analysis,66.57,50.37,52.04,66.33
36,Pea Protein,Pea,Plant,5.38,24.9,2.81,High Pressure,Salt Extraction,Foam Test,56.01,55.38,57.22,54.44
37,Soy Protein,Soy,Plant,5.77,28.3,7.57,Heat,Salt Extraction,Foam Test,58.46,59.18,48.96,58.85
38,Pea Protein,Pea,Plant,7.88,76.5,9.92,High Pressure,Salt Extraction,Spectrophotometric,51.31,51.71,49.45,77.1
39,Potato Protein,Potato,Plant,6.43,72.6,8.04,High Pressure,Alkaline Extraction,Texture Analysis,67.04,58.33,56.91,68.29
40,Pea Protein,Pea,Plant,8.31,44.8,9.65,High Pressure,Alkaline Extraction,Spectrophotometric,59.13,63.42,48.53,62.11
41,Chickpea Protein,Chickpea,Plant,7.53,72.7,,pH Shift,Alkaline Extraction,Texture Analysis,56.0,55.91,30.95,74.8
42,Hemp Protein,Hemp,Plant,5.03,30.0,8.09,Untreated,Aqueous Extraction,Foam Test,37.89,51.69,41.22,39.46
43,Soy Protein,Soy,Plant,7.68,25.7,2.68,Untreated,Salt Extraction,Foam Test,59.73,57.66,41.58,56.59
44,Hemp Protein,Hemp,Plant,7.01,49.7,9.25,pH Shift,Alkaline Extraction,Texture Analysis,58.29,50.99,39.91,54.69
